"107年08月24日每5秒委託成交統計"
"時間","累積委託買進筆數","累積委託買進數量","累積委託賣出筆數","累積委託賣出數量","累積成交筆數","累積成交數量","累積成交金額",
="09:00:00","172,222","2,887,096","171,512","1,079,843","0","0","0",
="09:00:05","173,884","2,894,446","172,874","1,081,783","7,020","24,378","1,354",
="09:00:10","175,882","3,114,947","174,487","1,248,677","10,552","34,171","1,792",
="09:00:15","177,697","3,243,668","176,091","1,388,205","12,739","39,760","2,046",
="09:00:20","179,263","3,306,532","177,476","1,464,148","14,665","45,820","2,224",
="09:00:25","180,489","3,312,578","178,629","1,471,955","15,791","49,701","2,348",
="09:00:30","181,856","3,335,788","179,773","1,490,859","16,714","51,976","2,455",
="09:00:35","183,529","3,387,621","181,317","1,521,633","17,447","53,931","2,543",
="09:00:40","184,920","3,420,290","182,783","1,549,000","18,178","55,777","2,628",
="09:00:45","188,005","3,579,137","185,882","1,687,496","18,746","58,002","2,722",
="09:00:50","192,131","3,803,624","190,186","1,908,157","19,444","60,460","2,816",
="09:00:55","194,721","3,891,467","192,881","1,978,952","20,119","63,505","2,888",
="09:01:00","196,406","3,904,468","194,632","1,988,024","20,766","66,157","2,955",
="09:01:05","199,619","4,114,483","197,890","2,154,102","21,469","68,645","3,046",
="09:01:10","202,576","4,236,079","201,066","2,257,724","22,280","73,099","3,135",
="09:01:15","205,553","4,333,538","204,032","2,326,791","23,072","76,395","3,233",
="09:01:20","207,843","4,407,249","206,323","2,368,956","23,847","79,898","3,326",
="09:01:25","210,030","4,487,831","208,612","2,421,089","24,535","83,333","3,402",
="09:01:30","212,846","4,571,127","211,330","2,454,251","25,188","87,557","3,511",
="09:01:35","215,364","4,735,836","213,912","2,546,120","25,917","91,495","3,612",
="09:01:40","218,342","4,923,300","216,940","2,667,328","26,637","95,410","3,703",
="09:01:45","220,612","5,030,175","219,082","2,740,787","27,188","97,599","3,763",
="09:01:50","223,528","5,182,047","221,991","2,860,141","27,867","101,980","3,834",
="09:01:55","225,992","5,237,098","224,539","2,894,134","28,591","107,403","3,933",
="09:02:00","228,354","5,321,997","226,779","2,960,503","29,318","111,388","4,016",
="09:02:05","232,521","5,557,766","230,847","3,129,261","30,036","116,352","4,108",
="09:02:10","236,463","5,897,789","234,605","3,336,131","30,968","121,613","4,217",
="09:02:15","239,675","5,981,773","237,805","3,401,444","31,614","125,290","4,295",
="09:02:20","243,414","6,186,346","241,413","3,527,391","32,430","130,994","4,373",
="09:02:25","246,647","6,334,833","244,660","3,614,640","33,029","135,136","4,440",
="09:02:30","249,006","6,448,232","246,969","3,640,723","33,702","139,157","4,514",
="09:02:35","252,382","6,620,350","250,341","3,757,330","34,360","144,265","4,585",
="09:02:40","256,436","6,824,676","254,097","3,909,822","35,048","150,130","4,688",
="09:02:45","259,850","7,012,941","257,621","4,043,103","35,729","154,441","4,766",
="09:02:50","263,758","7,357,284","261,473","4,172,580","36,419","159,122","4,842",
