"期間","短期票券市場-當期交易金額-原始值","股票市場-總市值-原始值","股票市場-當期成交金額-原始值"
"1961M07","-","-","-"
"1961M08","-","-","-"
"1961M09","-","-","-"
"1961M10","-","-","-"
"1961M11","-","-","-"
"1961M12","-","-","-"
"1962M01","-","-","-"
"1962M02","-","-","-"
"1962M03","-","-","1"
"1962M04","-","-","1"
"1962M05","-","-","1"
"1962M06","-","-","1"
"1962M07","-","-","-"
"1962M08","-","-","-"
"1962M09","-","-","-"
"1962M10","-","-","-"
"1962M11","-","-","-"
"1962M12","-","68","-"
"1963M01","-","-","1"
"1963M02","-","-","1"
"1963M03","-","-","1"
"1963M04","-","-","2"
"1963M05","-","-","3"
"1963M06","-","-","1"
"1963M07","-","-","5"
"1963M08","-","-","8"
"1963M09","-","-","9"
"1963M10","-","-","10"
"1963M11","-","-","34"
"1963M12","-","194","23"
"1964M01","-","-","18"
"1964M02","-","-","13"
"1964M03","-","-","25"
"1964M04","-","-","48"
"1964M05","-","-","22"
"1964M06","-","-","46"
"1964M07","-","-","48"
"1964M08","-","-","49"
"1964M09","-","-","27"
"1964M10","-","-","21"
"1964M11","-","-","19"
"1964M12","-","250","20"
"1965M01","-","-","15"
"1965M02","-","-","16"
"1965M03","-","-","25"
"1965M04","-","-","16"
"1965M05","-","-","13"
"1965M06","-","-","8"
"1965M07","-","-","3"
"1965M08","-","-","4"
"1965M09","-","-","2"
"1965M10","-","-","2"
"1965M11","-","-","4"
"1965M12","-","271","2"
"1966M01","-","-","4"
"1966M02","-","-","5"
"1966M03","-","-","3"
"1966M04","-","-","9"
"1966M05","-","-","5"
"1966M06","-","-","3"
"1966M07","-","-","5"
"1966M08","-","-","4"
"1966M09","-","-","3"
"1966M10","-","-","2"
"1966M11","-","-","2"
"1966M12","-","182","2"
"1967M01","-","-","4"
"1967M02","-","-","4"
"1967M03","-","-","4"
"1967M04","-","-","9"
"1967M05","-","-","6"
"1967M06","-","-","3"
"1967M07","-","-","6"
"1967M08","-","-","5"
"1967M09","-","-","2"
"1967M10","-","-","2"
"1967M11","-","-","4"
"1967M12","-","92","6"
"1968M01","-","-","9"
"1968M02","-","-","4"
"1968M03","-","-","10"
"1968M04","-","-","8"
"1968M05","-","-","8"
"1968M06","-","-","6"
"1968M07","-","-","6"
"1968M08","-","-","6"
"1968M09","-","-","6"
"1968M10","-","-","4"
"1968M11","-","-","5"
"1968M12","-","105","5"
"1969M01","-","-","3"
"1969M02","-","-","2"
"1969M03","-","-","3"
"1969M04","-","-","4"
"1969M05","-","-","4"
"1969M06","-","-","3"
"1969M07","-","-","4"
"1969M08","-","-","4"
"1969M09","-","-","3"
"1969M10","-","-","4"
"1969M11","-","-","5"
"1969M12","-","138","4"
"1970M01","-","-","4"
"1970M02","-","-","9"
"1970M03","-","-","16"
"1970M04","-","-","19"
"1970M05","-","-","9"
"1970M06","-","-","7"
"1970M07","-","-","8"
"1970M08","-","-","5"
"1970M09","-","-","5"
"1970M10","-","-","6"
"1970M11","-","-","7"
"1970M12","-","170","13"
"1971M01","-","-","6"
"1971M02","-","-","16"
"1971M03","-","-","14"
"1971M04","-","-","12"
"1971M05","-","-","14"
"1971M06","-","-","32"
"1971M07","-","-","32"
"1971M08","-","-","20"
"1971M09","-","-","27"
"1971M10","-","-","16"
"1971M11","-","-","16"
"1971M12","-","209","31"
"1972M01","-","-","21"
"1972M02","-","-","22"
"1972M03","-","-","45"
"1972M04","-","-","34"
"1972M05","-","-","62"
"1972M06","-","-","45"
"1972M07","-","-","31"
"1972M08","-","-","40"
"1972M09","-","-","28"
"1972M10","-","-","56"
"1972M11","-","-","85"
"1972M12","-","302","73"
"1973M01","-","-","56"
"1973M02","-","-","72"
"1973M03","-","-","74"
"1973M04","-","-","75"
"1973M05","-","-","62"
"1973M06","-","-","77"
"1973M07","-","-","67"
"1973M08","-","-","58"
"1973M09","-","-","59"
"1973M10","-","-","87"
"1973M11","-","-","105"
"1973M12","-","855","77"
"1974M01","-","-","43"
"1974M02","-","-","51"
"1974M03","-","-","29"
"1974M04","-","-","2"
"1974M05","-","-","11"
"1974M06","-","-","46"
"1974M07","-","-","51"
"1974M08","-","-","45"
"1974M09","-","-","51"
"1974M10","-","-","40"
"1974M11","-","-","37"
"1974M12","-","504","29"
"1975M01","-","-","60"
"1975M02","-","-","74"
"1975M03","-","-","59"
"1975M04","-","-","81"
"1975M05","-","-","167"
"1975M06","-","-","177"
"1975M07","-","-","132"
"1975M08","-","-","166"
"1975M09","-","-","108"
"1975M10","-","-","94"
"1975M11","-","-","75"
"1975M12","-","740","110"
"1976M01","-","847","157"
"1976M02","-","747","109"
"1976M03","-","800","184"
"1976M04","-","754","138"
"1976M05","-","792","119"
"1976M06","-","849","120"
"1976M07","-","766","88"
"1976M08","-","770","117"
"1976M09","-","755","57"
"1976M10","-","822","64"
"1976M11","-","806","108"
"1976M12","-","945","197"
"1977M01","-","986","210"
"1977M02","-","935","99"
"1977M03","-","964","120"
"1977M04","-","956","109"
"1977M05","-","988","129"
"1977M06","-","1,006","124"
"1977M07","-","932","84"
"1977M08","-","976","116"
"1977M09","-","1,039","189"
"1977M10","-","1,049","155"
"1977M11","-","1,094","176"
"1977M12","-","1,210","208"
"1978M01","-","1,270","268"
"1978M02","-","1,284","219"
"1978M03","-","1,259","205"
"1978M04","-","1,342","224"
"1978M05","-","1,480","437"
"1978M06","-","1,405","251"
"1978M07","-","1,477","407"
"1978M08","-","1,567","429"
"1978M09","-","1,723","428"
"1978M10","-","1,643","283"
"1978M11","-","1,600","265"
"1978M12","-","1,533","201"
"1979M01","-","1,538","113"
"1979M02","-","1,692","167"
"1979M03","-","1,951","281"
"1979M04","-","2,080","422"
"1979M05","-","1,898","228"
"1979M06","-","1,843","108"
"1979M07","-","1,761","125"
"1979M08","-","1,810","187"
"1979M09","-","1,738","118"
"1979M10","-","1,682","106"
"1979M11","-","1,690","86"
"1979M12","-","1,788","113"
"1980M01","-","1,805","131"
"1980M02","-","1,863","107"
"1980M03","-","1,794","163"
"1980M04","-","1,804","93"
"1980M05","-","1,817","65"
"1980M06","-","1,829","49"
"1980M07","-","1,931","133"
"1980M08","-","1,957","239"
"1980M09","-","1,977","175"
"1980M10","-","2,144","226"
"1980M11","-","2,142","144"
"1980M12","-","2,191","96"
"1981M01","-","2,318","108"
"1981M02","-","2,281","163"
"1981M03","-","2,210","144"
"1981M04","-","2,242","197"
"1981M05","-","2,261","279"
"1981M06","-","2,213","293"
"1981M07","-","2,159","133"
"1981M08","-","1,929","136"
"1981M09","-","1,890","144"
"1981M10","-","1,877","115"
"1981M11","-","1,951","141"
"1981M12","-","2,013","239"
"1982M01","-","2,109","91"
"1982M02","-","2,076","100"
"1982M03","-","2,053","116"
"1982M04","-","2,038","103"
"1982M05","-","1,991","113"
"1982M06","-","1,989","122"
"1982M07","-","1,931","77"
"1982M08","-","1,927","89"
"1982M09","-","2,040","154"
"1982M10","-","2,068","126"
"1982M11","-","2,046","141"
"1982M12","-","2,031","106"
"1983M01","-","2,028","100"
"1983M02","-","2,122","138"
"1983M03","-","2,457","499"
"1983M04","-","2,655","627"
"1983M05","-","2,693","438"
"1983M06","-","2,937","363"
"1983M07","-","2,929","357"
"1983M08","-","2,849","206"
"1983M09","-","2,903","291"
"1983M10","-","2,842","158"
"1983M11","-","2,847","174"
"1983M12","-","3,060","287"
"1984M01","-","3,303","321"
"1984M02","-","3,476","495"
"1984M03","-","3,593","476"
"1984M04","-","3,866","335"
"1984M05","-","3,702","496"
"1984M06","-","3,774","272"
"1984M07","-","3,790","106"
"1984M08","-","3,899","173"
"1984M09","-","3,614","101"
"1984M10","-","3,462","130"
"1984M11","-","3,639","133"
"1984M12","-","3,903","206"
